,supplier_t,battery_sum,bms_sum
0,sevt,21289,15003
2,sdiv,5971,127
3,wistron corporation,3845,14815
4,hp international sarl,2298,3757
5,"samsung sdi co., ltd",1706,145
6,"elentec vietnam energy co.,ltd",1509,195
7,cong ty tnhh samsung sdi viet nam,1193,128
8,"itm semiconductor vietnam co., ltd",1013,9046
9,sehc,689,15454
10,"samsung electronics vietnam thai nguyen co.,ltd",658,553
11,cong ty tnhh dien tu samsung hcmc ce complex,631,87794
13,cong ty tnhh samsung electronics viet nam,611,1991
14,"samsung electronics co., ltd",522,13752
15,verdant crest technology dmcc,508,10921
16,luxshare precision limited,437,25177
18,apple south asia pte. ltd,409,149
19,wingtech group hongkong limited,383,19866
20,tti vietnam manufacturing,380,171
21,arnold technologies shenzhen ltd,372,5585
23,no disponible,361,2029
25,hefei gotion high-tech power energy co ltd,341,10806
27,"shenzhen chenshi technology co., ltd",286,4641
29,"tcl technoly electronics hui zhou co., ltd",254,20444
30,"hansol electronics vietnam co.,ltd",215,278
33,"samsung sdi vietnam co.,ltd",201,258
34,lg electronics inc,183,112440
37,cong ty tnhh samsung electronics viet nam thai nguyen,158,11665
38,"lg electronics vietnam hai phong co., ltd",147,15928
41,hp pps asia pacific pte ltd,139,108
42,"buckeye mountain, inc",138,140
43,lgevh,136,1345
44,"compal vietnam co., ltd",134,6910
46,itm semiconductor vietnam company limited,125,2179
53,truper herramientas sa de cv,103,348
54,apple operations ltd,102,432
